Disease	Eval_ID	gene
medulloblastoma	TH_Eval_016	GTF3C2
medulloblastoma	TH_Eval_016	HDAC10
medulloblastoma	TH_Eval_016	HECTD4
medulloblastoma	TH_Eval_016	HES6
medulloblastoma	TH_Eval_016	HINFP
medulloblastoma	TH_Eval_016	HK2
medulloblastoma	TH_Eval_016	HLX
medulloblastoma	TH_Eval_016	HMP19
medulloblastoma	TH_Eval_016	HPCA
medulloblastoma	TH_Eval_016	IGSF21
medulloblastoma	TH_Eval_016	INSM1
medulloblastoma	TH_Eval_016	KANSL3
medulloblastoma	TH_Eval_016	KCNQ2
medulloblastoma	TH_Eval_016	KDM3A
medulloblastoma	TH_Eval_016	KIAA0195
medulloblastoma	TH_Eval_016	KIAA0556
medulloblastoma	TH_Eval_016	KIAA1614
medulloblastoma	TH_Eval_016	KIF1B
medulloblastoma	TH_Eval_016	KIF21B
medulloblastoma	TH_Eval_016	KIF5C
medulloblastoma	TH_Eval_016	KIRREL2
medulloblastoma	TH_Eval_016	KLHDC8A
medulloblastoma	TH_Eval_016	KLHL17
medulloblastoma	TH_Eval_016	KLHL29
medulloblastoma	TH_Eval_016	L1CAM
medulloblastoma	TH_Eval_016	LARS
medulloblastoma	TH_Eval_016	LHX2
medulloblastoma	TH_Eval_016	LHX8
medulloblastoma	TH_Eval_016	LINC00599
medulloblastoma	TH_Eval_016	LINC00969
medulloblastoma	TH_Eval_016	LMBR1L
medulloblastoma	TH_Eval_016	LPPR4
medulloblastoma	TH_Eval_016	LUC7L3
medulloblastoma	TH_Eval_016	MAB21L1
medulloblastoma	TH_Eval_016	MADD
medulloblastoma	TH_Eval_016	MAGEA3
medulloblastoma	TH_Eval_016	MAGEA6
medulloblastoma	TH_Eval_016	MALAT1
medulloblastoma	TH_Eval_016	MAN2A2
medulloblastoma	TH_Eval_016	MAPKBP1
medulloblastoma	TH_Eval_016	MAST1
medulloblastoma	TH_Eval_016	MAST2
medulloblastoma	TH_Eval_016	MAU2
medulloblastoma	TH_Eval_016	MCC
medulloblastoma	TH_Eval_016	MED24
medulloblastoma	TH_Eval_016	METTL22
medulloblastoma	TH_Eval_016	MKS1
medulloblastoma	TH_Eval_016	MOK
medulloblastoma	TH_Eval_016	MRPL30
medulloblastoma	TH_Eval_016	MRPL38
medulloblastoma	TH_Eval_016	MRPS2
medulloblastoma	TH_Eval_016	MRPS5
medulloblastoma	TH_Eval_016	MSH5
medulloblastoma	TH_Eval_016	MSTO1
medulloblastoma	TH_Eval_016	MT3
medulloblastoma	TH_Eval_016	MTA1
medulloblastoma	TH_Eval_016	MYT1
medulloblastoma	TH_Eval_016	MYT1L
medulloblastoma	TH_Eval_016	MZF1
medulloblastoma	TH_Eval_016	NAA40
medulloblastoma	TH_Eval_016	NAPB
medulloblastoma	TH_Eval_016	NAT9
medulloblastoma	TH_Eval_016	NDRG1
medulloblastoma	TH_Eval_016	NDRG3
medulloblastoma	TH_Eval_016	NELFCD
medulloblastoma	TH_Eval_016	NEURL4
medulloblastoma	TH_Eval_016	NEUROD1
medulloblastoma	TH_Eval_016	NEUROD2
medulloblastoma	TH_Eval_016	NFIB
medulloblastoma	TH_Eval_016	NISCH
medulloblastoma	TH_Eval_016	NNAT
medulloblastoma	TH_Eval_016	NOMO3
medulloblastoma	TH_Eval_016	NONO
medulloblastoma	TH_Eval_016	NPIPA1
medulloblastoma	TH_Eval_016	NPIPA5
